total_variation_magnitude,sharpness_score_laplacian,phase_global_std,total_variation_phase,phase_convergence_step,mag_convergence_step,reprojection_data_error,recovery_err,iteraciones
418305248.73281205,32366009144.33422,2.1866539594610512,292078.6870056959,0.00013165468266788924,3.3631219833519657,0.16275244884217263,0.9443054117680313,5
419942154.9658829,32399835778.937874,2.1866630035419323,292227.16608119314,0.00023156293369639463,4.476021976902592,0.14493885617213842,0.944071977053425,10
429361918.19900405,32462341096.390354,2.1866990074101347,292328.06641875184,0.0002292210217190897,7.572150330516097,0.1210766442386895,0.9427811641475397,15
443178264.15875983,32523028755.117317,2.186721909301507,292463.4525541323,0.00019755946159072746,8.42399650367177,0.0983178172716179,0.9410979478992261,20
455340610.5930556,32546694404.483364,2.1867344579293255,292627.8406617876,0.00018600396724352666,6.651343833284485,0.08151685351748839,0.9397928609288558,25
463743615.5761014,32529544108.507214,2.1867480956754193,292921.1496568041,0.0001937621177240469,4.609037902294947,0.07176811017799618,0.9390232777953241,30
468890390.9661839,32492246356.219345,2.1867665092993915,293089.7743442035,0.0002001016745809769,3.1527250214714453,0.06719195873764103,0.9385844258458712,35
472080757.6624197,32454843742.883034,2.1867874077392604,293288.35299103684,0.00021446966184059005,2.28940242482738,0.06528350343372459,0.9382784744917324,40
474275055.33157927,32426250423.26391,2.1868041575752346,293529.8031900857,0.00021867850429167042,1.817623942509018,0.06446258745649577,0.9380283153144218,45
476012634.54361963,32407171763.36926,2.186782823177753,293833.2107024879,0.00022230365924544434,1.595496465253575,0.06409836311926892,0.9377931547493207,50
